,CARRIER,CARRIER_NAME,CNAME
0,16,PSA Airlines Inc. (2004 - 2015),PSA Airlines Inc.   
1,17,Piedmont Airlines (2005 - 2015),Piedmont Airlines   
2,37,Zeal 320 (2006 - ),Zeal    
3,02Q,Titan Airways (2006 - ),Titan Airways   
4,04Q,Tradewind Aviation (2006 - ),Tradewind Aviation   
5,05Q,"Comlux Aviation, AG (2006 - 2012)","Comlux Aviation, AG   "
6,06Q,Master Top Linhas Aereas Ltd. (2007 - ),Master Top Linhas Aereas Ltd.   
7,07Q,Flair Airlines Ltd. (2007 - ),Flair Airlines Ltd.   
8,09Q,"Swift Air, LLC (2006 - )","Swift Air, LLC   "
9,0BQ,DCA (2007 - ),DCA   
10,0CQ,ACM AIR CHARTER GmbH (2007 - ),ACM AIR CHARTER GmbH   
11,0FQ,"Maine Aviation Aircraft Charter, LLC (2017 - )","Maine Aviation Aircraft Charter, LLC   "
12,0GQ,"Inter Island Airways, d/b/a Inter Island Air (2007 - 2016)","Inter Island Airways, dba Inter Island Air   "
13,0HQ,Polar Airlines de Mexico d/b/a Nova Air (2007 - ),Polar Airlines de Mexico dba Nova Air   
14,0IQ,Lynx Aviation d/b/a Frontier Airlines (2007 - 2007),Lynx Aviation dba Frontier Airlines   
15,0J,JetClub AG (2007 - ),JetClub AG   
16,0JQ,Vision Airlines (2008 - 2015),Vision Airlines   
17,0KQ,"Mokulele Flight Services, Inc. (2006 - 2012)","Mokulele Flight Services, Inc.   "
18,0LQ,"Metropix UK, LLP. (2007 - )","Metropix UK, LLP.   "
19,0MQ,"Multi-Aero, Inc. d/b/a Air Choice One (2008 - )","MultiAero, Inc. dba Air Choice One   "
20,0OQ,Open Skies (2008 - 2009),Open Skies   
21,0Q,Flying Service N.V. (2007 - ),Flying Service N.V.   
22,0QQ,TAG Aviation (UK) Ltd. (2006 - ),TAG Aviation UK Ltd.   
23,0RQ,TAG Aviation Espana S.L. (2006 - ),TAG Aviation Espana S.L.   
