,RATIO_OP_SCH,FLIGHT_SPEED,ARRIVAL_DELAY,FLIGHTS_VOLUME,TAXI_IN,TAXI_OUT,SCORE
Frontier Airlines Inc.   ,1.1495483129,1.70110981708,2.0,1.0,2.0,1.51463500949,0.277041415047
ExpressJet Airlines Inc.   ,1.0,1.0,1.54974805493,1.45404199041,1.34429779283,1.52860660122,0.347476114846
SkyWest Airlines Inc.   ,1.47432553719,1.55984846298,1.79949786991,1.13208794842,1.46700786902,2.0,0.414584689167
Spirit Air Lines   ,1.32105524791,1.70851690466,1.61392884312,1.06319226318,1.66140138933,1.38520954032,0.509022363515
JetBlue Airways   ,1.26280474321,1.78068571372,1.52541105895,1.00640601752,1.0,1.4906656211,0.69124855363
Delta Air Lines Inc.   ,1.69179442629,1.57490090577,1.34913284505,1.11415109936,1.44246247645,1.4849235689,0.76316939724
Virgin America   ,1.92785008451,1.80040966992,1.58163733462,1.01979666061,1.49310968074,1.32394281793,0.857766733042
American Airlines Inc.   ,1.65728146253,1.64138079126,1.46460773942,2.0,1.71802728465,1.65287033608,1.05455462825
Alaska Airlines Inc.   ,2.0,2.0,1.0,1.00322367333,1.46951382077,1.50862932893,1.24742151292
United Air Lines Inc.   ,1.9785571954,1.78482663462,1.24498745982,1.42349975203,1.4953061047,1.55488616885,1.2907299096
Southwest Airlines Co.   ,1.54924432807,1.50737599744,1.48646221356,1.92928583237,1.06960937802,1.0,1.73960000917
